"Allow Everything", "Permetti Tutto"
"Hello World Permission", "Permessi Hello World"
"Hello World Settings", "Impostazioni Hello World"
"Configuration", "Configurazione"
"Enable Message", "Abilita Messaggio"
"Enable/Disable your custom message", "Abilita/Disabilita il tuo messaggio personalizzato"
"Message to display", "Messaggio da visualizzare"
"Write here message you want to display", "Scrivi qui il messaggio che vuoi visualizzare"
"Hello World Test", "Hello World Test"
"Hey! Catch!", "Hey! Prendi!"
"Hello World Module Sidebar", "Barra Laterale Modulo Hello World"
"Your custom message:", "Il tuo messaggio personalizzato:"
